ITB_No,Cost_ID,Vendor Name,Actual/Accruals,Invoice No,Invoice Date,PO No,Currency, Subtotal Amount (Without Tax) ,FX,Amount in CAD,Claim Amount
ITB_SAN_02,COST_000032,VENDOR_000050,Actuals,INV_000037-C02,2025-07-29,PO_000069,CAD,"$564,070.43",1,"$564,070.43","$4,308.41"
ITB_SAN_02,COST_000009,VENDOR_000051,Actuals,INV_000038-C02,"July, 1st, 2025",PO_000074,CAD,"$221,019.34",1,"$221,019.34",$16.51
ITB_SAN_02,COST_000033,VENDOR_000052,Actuals,INV_000039-C02,2025-04-30,PO_000075,CAD,"$2,036.29",1,"$2,036.29","$1,959.71"
ITB_SAN_02,COST_000034,VENDOR_000052,Actuals,INV_000040-C02,2025-07-31,,,"$8,908.91",1,"$8,908.91","$8,264.13"
ITB_SAN_02,COST_000035,VENDOR_000052,Actuals,INV_000041-C02,2025-07-31,PO_000075,CAD,"$1,036.98",1,"$1,036.98",$0.00
ITB_SAN_02,COST_000036,VENDOR_000053,Actuals,INV_000042-C02,31-Jul-25,PO_000170,CAD,$765.52,1,$765.52,$738.27
ITB_SAN_02,COST_000013,VENDOR_000054,Actuals,INV_000043-C02,2025-06-30,PO_000103,CAD,$854.69,1,$854.69,$81.62
ITB_SAN_02,COST_000037,VENDOR_000055,Actuals,INV_000044-C02,2025-08-14,PO_000127,USD,$216.11,1.38,$298.23,$43.62
ITB_SAN_02,COST_000038,VENDOR_000055,Actuals,INV_000045-C02,2025-08-14,PO_000126,USD,"$2,569.75",1.38,"$3,546.26",$43.52
ITB_SAN_02,COST_000002,VENDOR_000055,Actuals,INV_000046-C02,2025-08-14,PO_000128,USD,"$1,131.90",1.38,"$1,562.03","$1,460.14"
ITB_SAN_02,COST_000039,VENDOR_000056,Actuals,INV_000047-C02,30/06/2025,PO_000117,CAD,"$7,055.26",1,"$7,055.26",$0.00
ITB_SAN_02,COST_000040,VENDOR_000057,Actuals,INV_000048-C02,2025-08-05,PO_000132,CAD,"$2,825.45",1,"$2,825.45",$480.37
ITB_SAN_02,COST_000041,VENDOR_000058,Actuals,INV_000049-C02,2025-08-20,PO_000114,CAD,"$73,755.59",1,"$73,755.59","$47,141.78"
ITB_SAN_02,COST_000042,VENDOR_000058,Actuals,INV_000050-C02,2025-08-26,PO_000115,CAD,$714.01,1,$714.01,$560.54
ITB_SAN_02,COST_000043,VENDOR_000059,Actuals,INV_000051-C02,2025-07-10,PO_000135,CAD,"$4,509.17",1,"$4,509.17",$399.90
ITB_SAN_02,COST_000026,VENDOR_000060,Actuals,INV_000052-C02,,PO_000156,CAD,"$23,230.99",1,"$23,230.99",$0.00
ITB_SAN_02,COST_000044,VENDOR_000061,Actuals,INV_000053-C02,2025-08-04,PO_000162,CAD,$172.70,1,$172.70,$149.54
ITB_SAN_02,COST_000006,VENDOR_000061,Actuals,INV_000054-C02,2025-08-04,PO_000162,CAD,$375.71,1,$375.71,$373.39
ITB_SAN_02,COST_000045,VENDOR_000061,Actuals,INV_000055-C02,2025-07-07,PO_000162,CAD,$430.08,1,$430.08,$36.36
ITB_SAN_02,COST_000039,VENDOR_000061,Actuals,INV_000056-C02,2025-07-31,PO_000162,CAD,$141.56,1,$141.56,$54.67
ITB_SAN_02,COST_000046,VENDOR_000061,Actuals,INV_000057-C02,2025-06-25,PO_000162,CAD,$350.79,1,$350.79,$10.07
ITB_SAN_02,COST_000047,VENDOR_000061,Actuals,INV_000058-C02,2025-07-03,PO_000162,CAD,$513.45,1,$513.45,$201.37
ITB_SAN_02,COST_000048,VENDOR_000061,Actuals,INV_000059-C02,2025-07-25,PO_000162,CAD,$572.73,1,$572.73,$472.20
ITB_SAN_02,COST_000049,VENDOR_000048,Accruals,INV_000060-C02,2025-08-08,PO_000011,CAD,"$12,902.16",1,"$12,902.16",$43.14
ITB_SAN_02,COST_000050,VENDOR_000048,Accruals,INV_000061-C02,2025-08-08,PO_000009,CAD,"$15,133.46",1,"$15,133.46","$4,723.02"
ITB_SAN_02,COST_000031,VENDOR_000019,Accruals,INV_000062-C02,2025-08-22,PO_000100,CAD,$707.64,1,$707.64,$42.75
ITB_SAN_02,COST_000051,VENDOR_000019,Accruals,INV_000063-C02,2025-07-23,PO_000095,CAD,"$1,860.65",1,"$1,860.65",$0.00
ITB_SAN_02,COST_000052,VENDOR_000019,Accruals,INV_000064-C02,2025-07-23,PO_000091,CAD,$275.19,1,$275.19,$0.00
ITB_SAN_02,COST_000041,VENDOR_000019,Accruals,INV_000065-C02,2025-07-30,PO_000095,CAD,$698.31,1,$698.31,$0.00
ITB_SAN_02,COST_000004,VENDOR_000019,Accruals,INV_000066-C02,13-Aug-25,PO_000101,CAD,"$11,089.16",1,"$11,089.16",$0.00
ITB_SAN_02,COST_000030,VENDOR_000019,Accruals,INV_000067-C02,2025-07-23,PO_000099,CAD,$828.72,1,$828.72,$0.00
ITB_SAN_02,COST_000043,VENDOR_000019,Accruals,INV_000068-C02,2025-06-30,PO_000092,CAD,"$1,226.92",1,"$1,226.92",$0.00
ITB_SAN_02,COST_000029,VENDOR_000019,Accruals,INV_000069-C02,2025-06-30,PO_000093,CAD,$739.78,1,$739.78,$0.00
ITB_SAN_02,COST_000035,VENDOR_000019,Accruals,INV_000070-C02,2025-07-23,PO_000098,CAD,$517.43,1,$517.43,$0.00
ITB_SAN_02,COST_000030,VENDOR_000019,Accruals,INV_000071-C02,2025-07-08,PO_000091,CAD,$771.23,1,$771.23,$0.00
ITB_SAN_02,COST_000053,VENDOR_000062,Accruals,INV_000072-C02,2025-06-09,PO_000164,USD,"$54,079.53",1.37,"$74,088.96",$0.00
ITB_SAN_02,COST_000054,VENDOR_000048,Accruals,INV_000061-C02,08/08/2025,PO_000009,CAD,"$23,290.59",1,"$23,290.59","$22,950.54"
ITB_SAN_02,COST_000018,VENDOR_000048,Accruals,INV_000060-C02,08/08/2025,PO_000011,CAD,"$12,594.00",1,"$12,594.00",$33.53
ITB_SAN_02,COST_000055,VENDOR_000048,Accruals,INV_000073-C02,2025-09-05,PO_000013,CAD,"$5,822.78",1,"$5,822.78",$172.11
ITB_SAN_02,COST_000056,VENDOR_000048,Accruals,INV_000074-C02,2025-09-05,PO_000014,CAD,"$5,377.40",1,"$5,377.40",$194.42
ITB_SAN_02,COST_000019,VENDOR_000005,Accruals,INV_000075-C02,2025-07-03,PO_000015,CAD,$256.58,1,$256.58,$160.70
ITB_SAN_02,COST_000057,VENDOR_000005,Accruals,INV_000076-C02,2025-07-03,PO_000015,CAD,"$23,666.68",1,"$23,666.68","$22,647.85"
ITB_SAN_02,COST_000058,VENDOR_000005,Accruals,INV_000077-C02,2025-07-04,PO_000016,CAD,"$8,758.77",1,"$8,758.77","$7,876.53"
ITB_SAN_02,COST_000033,VENDOR_000005,Accruals,INV_000078-C02,2025-07-03,PO_000015,CAD,$70.81,1,$70.81,$0.00
ITB_SAN_02,COST_000059,VENDOR_000005,Accruals,INV_000079-C02,2025-07-03,PO_000015,CAD,"$2,280.55",1,"$2,280.55","$2,269.29"
ITB_SAN_02,COST_000033,VENDOR_000046,Accruals,INV_000001-C02,2025-08-12,PO_000050,CAD,$66.33,1,$66.33,$0.00
ITB_SAN_02,COST_000060,VENDOR_000046,Accruals,INV_000080-C02,2025-08-06,PO_000043,CAD,"$13,726.32",1,"$13,726.32","$12,785.77"
ITB_SAN_02,COST_000061,VENDOR_000046,Accruals,INV_000081-C02,2025-08-15,PO_000043,CAD,"$1,988.94",1,"$1,988.94","$1,941.55"
ITB_SAN_02,COST_000001,VENDOR_000046,Accruals,INV_000082-C02,2025-08-15,PO_000043,CAD,$301.45,1,$301.45,$0.00
ITB_SAN_02,COST_000062,VENDOR_000046,Accruals,INV_000023-C02,2025-08-12,PO_000050,CAD,$264.96,1,$264.96,$206.77
ITB_SAN_02,COST_000063,VENDOR_000046,Accruals,INV_000083-C02,2025-08-06,PO_000043,CAD,$892.99,1,$892.99,$761.59
ITB_SAN_02,COST_000064,VENDOR_000046,Accruals,INV_000084-C02,2025-08-06,PO_000043,CAD,$303.93,1,$303.93,$95.95
ITB_SAN_02,COST_000031,VENDOR_000063,Accruals,INV_000085-C02,2025-07-31,PO_000075,CAD,"$1,066.04",1,"$1,066.04",$282.26
ITB_SAN_02,COST_000055,VENDOR_000063,Accruals,INV_000086-C02,2025-08-31,PO_000075,CAD,"$1,124.72",1,"$1,124.72",$0.00
ITB_SAN_02,COST_000034,VENDOR_000063,Accruals,INV_000087-C02,2025-08-31,PO_000075,CAD,"$1,044.44",1,"$1,044.44",$0.00
ITB_SAN_02,COST_000038,VENDOR_000056,Accruals,INV_000088-C02,2025-08-19,PO_000117,CAD,"$9,852.21",1,"$9,852.21",$0.00
ITB_SAN_02,COST_000057,VENDOR_000056,Accruals,INV_000089-C02,2025-09-24,PO_000118,CAD,"$9,761.43",1,"$9,761.43",$0.00
ITB_SAN_02,COST_000065,VENDOR_000064,Accruals,INV_000090-C02,2025-07-30,PO_000119,CAD,"$40,480.77",1,"$40,480.77","$11,495.10"
ITB_SAN_02,COST_000066,VENDOR_000065,Accruals,INV_000091-C02,2025-08-08,PO_000131,CAD,"$10,172.36", -   ,"$10,172.36","$9,737.95"
ITB_SAN_02,COST_000067,VENDOR_000065,Accruals,INV_000092-C02,2025-07-23,PO_000131,CAD,$79.91, -   ,$79.91,$62.29
ITB_SAN_02,COST_000010,VENDOR_000065,Accruals,INV_000093-C02,2025-07-16,PO_000130,CAD,"$14,163.75",1,"$14,163.75",$101.94
ITB_SAN_02,COST_000034,VENDOR_000065,Accruals,INV_000094-C02,2025-08-08,PO_000130,CAD,"$6,590.55",1,"$6,590.55",$0.00
ITB_SAN_02,COST_000052,VENDOR_000065,Accruals,INV_000095-C02,2025-08-05,PO_000133,CAD,"$123,445.37",1,"$123,445.37","$9,238.34"
ITB_SAN_02,COST_000035,VENDOR_000065,Accruals,INV_000096-C02,2025-06-13,PO_000130,CAD,"$50,482.65",1,"$50,482.65",$46.98
ITB_SAN_02,COST_000051,VENDOR_000058,Accruals,INV_000097-C02,2025-08-11,PO_000112,CAD,"$8,962.80",1,"$8,962.80","$6,771.00"
ITB_SAN_02,COST_000007,VENDOR_000058,Accruals,INV_000098-C02,2025-08-13,PO_000113,CAD,"$11,998.98",1,"$11,998.98","$11,162.21"
ITB_SAN_02,COST_000068,VENDOR_000032,Accruals,INV_000099-C02,2025-08-01,PO_000136,CAD,"$9,362.85",1,"$9,362.85","$4,495.30"
ITB_SAN_02,COST_000043,VENDOR_000066,Accruals,INV_000100-C02,2025-08-15,PO_000139,CAD,"$63,761.61",1,"$63,761.61",$0.00
ITB_SAN_02,COST_000055,VENDOR_000067,Accruals,INV_000101-C02,2025-07-20,PO_000157,CAD,"$160,999.49",1,"$160,999.49",$0.00
ITB_SAN_02,COST_000069,VENDOR_000068,Accruals,INV_000102-C02,2025-08-11,PO_000158,CAD,$570.92,1,$570.92,$247.44
ITB_SAN_02,COST_000070,VENDOR_000069,Accruals,INV_000103-C02,2025-04-07,PO_000161,CAD,"$1,339.06",1,"$1,339.06",$143.98
ITB_SAN_02,COST_000028,VENDOR_000040,Accruals,INV_000104-C02,,PO_000157,CAD,"$125,449.54",1,"$125,449.54",$807.78
ITB_SAN_02,COST_000010,VENDOR_000013,Accruals,INV_000104-C02,,PO_000073,CAD,"$11,701.73",1,"$11,701.73",$0.00
ITB_SAN_02,COST_000002,VENDOR_000013,Accruals,INV_000104-C02,,PO_000072,CAD,"$18,577.46",1,"$18,577.46",$0.00
ITB_SAN_02,COST_000064,VENDOR_000012,Accruals,INV_000104-C02,,PO_000071,CAD,"$46,348.73",1,"$46,348.73",$0.00
ITB_SAN_02,COST_000005,VENDOR_000029,Accruals,INV_000104-C02,,PO_000133,CAD,"$136,447.94",1,"$136,447.94",$0.00
ITB_SAN_02,COST_000004,VENDOR_000070,Accruals,INV_000104-C02,,PO_000171,CAD,$0.00,1,$0.00,$0.00
ITB_SAN_02,COST_000045,VENDOR_000048,Accruals,INV_000104-C02,,PO_000011,CAD,$0.00,1,$0.00,$0.00
ITB_SAN_02,COST_000007,VENDOR_000048,Accruals,INV_000104-C02,,PO_000009,CAD,"$12,132.55",1,"$12,132.55",$0.00
ITB_SAN_02,COST_000002,VENDOR_000034,Accruals,INV_000104-C02,,PO_000143,CAD,"$191,109.93",1,"$191,109.93",$0.00
ITB_SAN_02,COST_000070,VENDOR_000034,Accruals,INV_000104-C02,,PO_000143,CAD,"$177,084.61",1,"$177,084.61",$0.00
ITB_SAN_02,COST_000035,VENDOR_000001,Accruals,INV_000104-C02,,PO_000139,CAD,$0.00,1,$0.00,$0.00
ITB_SAN_02,COST_000053,VENDOR_000039,Accruals,INV_000104-C02,,PO_000156,CAD,$0.00,1,$0.00,$-0.01
ITB_SAN_02,COST_000042,VENDOR_000017,Accruals,INV_000104-C02,,PO_000078,CAD,"$92,046.27",1,"$92,046.27",$0.00
ITB_SAN_02,COST_000054,VENDOR_000038,Accruals,INV_000104-C02,,PO_000152,CAD,$0.00,1,$0.00,$0.00
ITB_SAN_02,COST_000013,VENDOR_000017,Accruals,INV_000104-C02,,PO_000077,CAD,"$142,587.72",1,"$142,587.72",$0.00
ITB_SAN_02,COST_000014,VENDOR_000071,Accruals,INV_000104-C02,,,CAD,"$247,958.78",1,"$247,958.78",$85.36
